timestamp,open,high,low,close,volume
2022-11-01,183.8700,184.5000,181.9000,182.2200,9185616
2022-10-31,178.0600,183.8400,178.0600,180.9000,13281031
2022-10-28,181.4700,182.8600,176.5300,179.9800,10773913
2022-10-27,179.8900,181.4000,177.4800,177.9000,9177445
2022-10-26,175.3200,178.4800,175.1700,177.0900,6867398
2022-10-25,173.0600,175.0000,172.1668,174.9300,7280616
2022-10-24,172.0800,174.6700,171.6100,173.1300,7007718
2022-10-21,169.1500,173.8400,168.8500,173.1900,7971263
2022-10-20,169.3000,171.8200,167.9400,168.9600,8871544
2022-10-19,163.5900,169.2100,163.5900,168.0000,9766782
2022-10-18,162.3600,163.3100,158.9600,162.7200,5631214
2022-10-17,163.2900,164.9100,161.1000,161.3100,5890355
2022-10-14,164.0400,165.4600,159.9300,160.1400,7330891
2022-10-13,156.3500,165.9900,156.3500,165.2800,10227528
2022-10-12,156.1400,158.8058,155.5200,157.6400,4942040
2022-10-11,154.7500,159.9300,154.1100,157.1700,7533526
2022-10-10,161.0000,161.4700,156.4400,157.1400,5904458
2022-10-07,162.5100,163.9300,159.0600,160.0300,9972528
2022-10-06,157.3400,161.9400,157.2000,161.4200,9498285
2022-10-05,155.8400,159.7300,154.8000,158.5300,10633060
2022-10-04,154.4300,157.8750,153.6300,157.6300,9520192
2022-10-03,148.9700,152.3400,148.3000,151.7300,9597434
2022-09-30,144.0300,145.1350,142.4901,143.6700,9402735
2022-09-29,144.5050,145.4114,142.2700,144.7700,8197558
2022-09-28,142.0800,146.4400,141.4000,145.7800,8279791
2022-09-27,142.2900,143.7700,140.4600,141.0200,10121025
2022-09-26,143.5700,145.0500,140.8900,140.9600,9443962
2022-09-23,149.7500,150.1800,143.6600,144.7700,13919660
2022-09-22,157.6000,158.2800,154.7400,154.8900,6344457
2022-09-21,158.3100,158.7800,154.9500,155.0100,6876977
2022-09-20,156.0400,156.8500,154.3438,156.2800,8955194
2022-09-19,152.9300,156.9500,152.8000,156.9000,6813836
2022-09-16,160.5200,161.1400,155.6100,156.4500,43741590
2022-09-15,160.6800,161.6950,159.5800,160.6200,9664953
2022-09-14,160.9400,163.5700,160.3450,163.2700,11160784
2022-09-13,161.4100,162.6600,158.7400,159.4100,10308253
2022-09-12,162.8100,164.5300,161.2500,162.5000,8920774
2022-09-09,158.4100,160.6500,157.5300,159.9700,8262324
2022-09-08,155.5900,156.3800,153.3800,155.9500,9232512
2022-09-07,154.0600,155.8200,152.6200,155.1100,9442085
2022-09-06,159.8900,159.9900,155.7100,157.1200,8458003
2022-09-02,158.2400,159.1250,156.7200,157.8500,7526632
2022-09-01,156.4800,156.8800,153.2275,155.5400,8244374
2022-08-31,157.6100,161.4100,156.1500,158.0600,13582719
2022-08-30,162.3200,162.5600,158.7600,160.6200,8814325
2022-08-29,163.8900,166.8300,163.6400,164.6300,8437407
2022-08-26,164.1800,166.1300,162.4600,163.4100,7765789
2022-08-25,163.9200,164.9000,162.6100,164.6200,8050712
2022-08-24,161.6600,163.3500,160.6700,163.1900,9468086
2022-08-23,159.1000,162.3400,158.7100,161.9900,10354806
2022-08-22,156.6900,157.7400,154.4200,156.9000,9146956
2022-08-19,158.4600,159.7400,157.6200,157.6900,6834151
2022-08-18,157.1500,159.6600,157.0900,159.0200,6477525
2022-08-17,156.6300,159.3406,155.5100,157.7000,6741052
2022-08-16,157.4100,157.9200,155.8200,156.4100,7218400
2022-08-15,155.1800,157.7900,153.4400,156.8100,8975241
2022-08-12,158.2500,159.9100,157.1400,159.8500,7244736
2022-08-11,158.1100,161.1600,157.6200,159.6200,7888554
2022-08-10,156.0000,156.4700,152.9300,155.8200,6145793
2022-08-09,155.9400,157.8000,154.6000,155.4100,5842157
2022-08-08,153.5900,154.9800,153.1524,153.4100,5971746
2022-08-05,149.6400,155.0100,149.0200,153.6400,7170150
2022-08-04,155.3200,155.4400,150.7250,151.1400,10640043
2022-08-03,159.3100,159.9600,154.3500,155.3600,8751360
2022-08-02,160.8900,161.4700,158.3000,159.1400,5928321
2022-08-01,161.1800,161.8600,159.1500,160.5100,8017771
2022-07-29,156.5450,164.6600,155.9000,163.7800,17143672
2022-07-28,150.6900,151.4700,148.0300,150.3900,6574257
2022-07-27,148.3400,150.2000,146.6600,149.2600,6223030
2022-07-26,149.5000,150.6800,146.5301,147.3200,6112846
2022-07-25,145.7000,148.6100,144.1800,148.4800,6210859
2022-07-22,145.5600,146.3000,143.4200,144.1900,5889480
2022-07-21,143.1200,145.4700,141.5000,145.4000,6724233
2022-07-20,144.5000,147.2600,143.3200,146.5200,7856587
2022-07-19,139.6900,145.0100,139.4200,144.6100,9152131
2022-07-18,140.5600,142.1400,139.0800,139.5800,7943901
2022-07-15,138.9600,138.9600,136.4300,137.6500,7051940
2022-07-14,134.3100,136.1600,132.5400,135.9400,10150199
2022-07-13,137.6100,140.7250,137.1400,137.9900,9414621
2022-07-12,138.5000,139.6200,137.2600,138.9200,8653904
2022-07-11,141.9100,142.8455,139.9300,141.5100,7058086
2022-07-08,144.8800,145.4500,141.0900,142.7700,7915513
2022-07-07,144.1000,145.3000,143.0800,143.5200,12741789
2022-07-06,141.6600,143.2600,136.8000,140.7800,12421182
2022-07-05,143.6500,144.5400,139.4100,142.6600,11518342
2022-07-01,146.6000,146.9600,142.4700,146.5100,7684648
2022-06-30,144.5500,147.9200,143.4100,144.7800,10684987
2022-06-29,151.6300,152.1100,146.0900,146.9800,9082908
2022-06-28,150.8800,152.1850,148.1100,149.9400,9188157
2022-06-27,145.8600,148.8200,145.6000,147.5700,9242394
2022-06-24,145.2000,147.0900,142.6000,144.7700,11108283
2022-06-23,148.7900,149.2300,140.1500,142.4300,15713650
2022-06-22,148.0700,150.8000,146.3300,147.8700,13746273
2022-06-21,152.0500,156.0200,151.4400,154.5900,13771959
2022-06-17,154.8800,155.4700,145.7900,148.3800,35575072
2022-06-16,159.9400,160.5400,153.7500,155.4800,18125946
2022-06-15,166.7800,167.8500,161.9400,164.2600,11565259
2022-06-14,169.3700,172.2900,165.8400,167.5500,10269314
2022-06-13,171.6100,172.0000,164.0600,167.3300,14614909
2022-06-10,176.3700,178.5700,173.6500,175.4000,9531887
2022-06-09,180.0300,180.6400,177.3900,177.5200,9767334
2022-06-08,180.9500,182.4000,180.2500,181.1300,8715219
2022-06-07,177.4700,180.6600,176.9200,180.2000,9668277
2022-06-06,177.9000,178.0000,175.5103,176.8300,6734222
2022-06-03,176.0000,178.2500,176.0000,177.6000,8435276
2022-06-02,174.7400,176.5100,174.1000,176.0000,7441942
2022-06-01,176.7300,178.1300,174.9400,176.3200,8824083
2022-05-31,179.9600,180.9600,173.4700,174.6600,20547567
2022-05-27,176.5200,178.3500,175.6900,178.2800,10512286
2022-05-26,176.4900,177.9300,175.0100,176.5900,11213897
2022-05-25,173.1400,175.9900,172.9700,175.4100,10174492
2022-05-24,170.6900,173.5800,169.8100,172.6400,9782746
2022-05-23,169.4300,172.9600,169.1100,171.7200,10216368
2022-05-20,168.8800,171.0400,164.0900,167.8200,9615014
2022-05-19,164.6300,169.6350,162.8300,166.8600,10958664
2022-05-18,174.1200,174.1300,165.7900,168.0600,13107484
2022-05-17,174.8400,175.6500,172.6100,174.0300,12827565
2022-05-16,169.0000,174.9700,168.8550,173.0100,13296287
2022-05-13,166.5000,168.7900,164.8800,167.8700,9229903
2022-05-12,163.2200,164.8500,158.8600,164.7100,8936447
2022-05-11,163.5800,167.4600,162.5100,163.1600,9105510
2022-05-10,162.2100,164.1900,157.8700,160.7800,11635989
2022-05-09,167.7500,167.7500,158.4750,159.2500,14110669
2022-05-06,168.2700,170.9700,165.4200,170.6900,10418069
2022-05-05,169.2600,169.5000,162.6500,166.2600,9807618
2022-05-04,164.9700,167.8900,163.4700,167.5900,9137348
2022-05-03,159.5700,163.4300,159.2600,162.4900,8827214
2022-05-02,156.3100,160.0000,155.1500,159.7500,11559035
2022-04-29,161.2800,162.4400,156.2900,156.6700,14713218
2022-04-28,157.4500,163.0000,154.9300,161.7900,9366444
2022-04-27,157.0800,157.9200,154.5200,156.2400,10396640
2022-04-26,158.8200,160.3700,156.3900,156.5300,9747255
2022-04-25,155.7300,158.3600,151.3600,157.4900,15449845
2022-04-22,164.3800,165.4700,160.8600,160.9500,12160115
2022-04-21,171.7400,172.4400,163.8300,164.5800,14594792
2022-04-20,171.6200,173.5800,171.4632,172.5300,7426801
2022-04-19,173.0800,173.6850,171.0300,171.8300,6970194
2022-04-18,173.0000,174.5400,171.8700,173.8900,7639045
2022-04-14,170.6900,172.9400,170.5600,171.5900,9421052
2022-04-13,170.9300,172.0800,168.2900,171.6700,7330690
2022-04-12,168.9700,172.6800,168.1500,169.0100,9528372
2022-04-11,168.5700,168.7800,164.9101,165.5600,10206072
2022-04-08,167.0500,171.0950,167.0200,169.9300,10801182
2022-04-07,165.1000,167.7000,163.4200,167.1000,8018385
2022-04-06,164.8300,167.0100,164.3300,164.8100,9268988
2022-04-05,165.0300,167.7228,163.1000,163.3600,9514376
2022-04-04,165.0000,165.4500,163.0000,164.3700,8723834
2022-04-01,162.7800,165.9500,162.3300,164.2200,8795255
2022-03-31,163.4700,166.1600,162.7200,162.8300,10395918
2022-03-30,165.2400,166.3500,163.6600,165.4800,9905997
2022-03-29,163.5100,164.4800,160.5000,164.3200,15102586
2022-03-28,165.9000,166.6300,165.1300,166.3500,9992000
2022-03-25,165.2200,169.6900,165.1600,169.3100,10152095
2022-03-24,166.4300,167.4001,165.0000,166.3000,9024821
2022-03-23,166.0000,167.3463,164.9400,165.8600,10754998
2022-03-22,163.6900,165.2600,162.5804,164.0900,11034860
2022-03-21,163.0200,165.5800,162.7200,164.6400,13075385
2022-03-18,160.8900,161.7300,158.7800,161.7300,22623197
2022-03-17,159.9500,160.9900,157.9200,160.4400,15750666
2022-03-16,158.7900,160.5000,156.2100,157.7100,22299742
2022-03-15,159.1140,160.1890,155.2600,158.2800,28534397
2022-03-14,166.2100,168.3500,164.3009,166.7200,25156193
2022-03-11,165.8900,172.9800,165.8800,170.9000,28423555
2022-03-10,168.7400,174.7600,168.2900,170.8200,34913612
2022-03-09,162.7700,169.7700,161.2125,166.2700,43429994
2022-03-08,164.3100,174.0000,164.1000,170.5300,57231027
2022-03-07,159.9000,162.1000,155.7200,162.0400,34824671
2022-03-04,155.7900,159.9500,155.0900,158.6500,29053440
2022-03-03,152.2600,157.1200,151.7500,156.2200,22492887
2022-03-02,150.2000,155.7500,150.0500,154.1400,31329537
2022-03-01,145.0100,149.9600,144.7000,149.7200,31159890
2022-02-28,139.2700,144.0000,138.6500,144.0000,24394290
2022-02-25,135.9600,140.5000,135.4300,140.3800,28028029
2022-02-24,137.9300,138.2300,131.7210,134.8500,22108907
